Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,18,49.3,345883.2276,986,5,0.81,0.93,5000,246500,0.12,5.99,299525,546025
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,18,49.3,345883.2276,986,5,0.81,0.93,5000,246500,0.12,5.99,299525,546025
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,19,59.16,353511.252,986,6,0.79,0.91,5000,295800,0.12,7.099,350663,646463
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,20,69.02,322999.1547,986,7,0.77,0.89,5000,345100,0.12,8.282,399129,744229
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,21,78.88,312748.997,986,8,0.75,0.87,5000,394400,0.12,9.466,445021,839421
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,22,88.74,302260.4636,986,9,0.73,0.85,5000,443700,0.12,10.649,488438,932138
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,23,98.6,306074.4757,986,10,0.71,0.83,5000,493000,0.12,11.832,529472,1022472
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,24,108.46,324429.4093,986,11,0.69,0.81,5000,542300,0.12,13.015,568214,1110514
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,25,118.32,316563.0092,986,12,0.67,0.79,5000,591600,0.12,14.198,604751,1196351
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,26,128.18,338016.8276,986,13,0.65,0.77,5000,640900,0.12,15.382,639168,1280068
Arthritis,BAY AREA COUNTIES,Alameda,African American,Female,27,138.04,334202.8154,986,14,0.63,0.75,5000,690200,0.12,16.565,671546,1361746
